"","County","Date","Q0.025","Q0.5","Q0.975","Date_per"
"1","Santa Clara",2024-07-16,0.954436801579494,0.990522262450814,1.02750601747336,2024-07-23
"2","Santa Clara",2024-07-17,0.948824865080978,0.984812078556058,1.02169795045869,2024-07-24
"3","Santa Clara",2024-07-18,0.942553744771964,0.978442964480685,1.01523185827637,2024-07-25
"4","Santa Clara",2024-07-19,0.935627243890883,0.971420052613381,1.00811428039426,2024-07-26
"5","Santa Clara",2024-07-20,0.928082534779154,0.963782588198772,1.00038662272657,2024-07-27
"6","Santa Clara",2024-07-21,0.919983196130307,0.955596750775397,0.992117759008697,2024-07-28
"7","Santa Clara",2024-07-22,0.911411096612861,0.946947315248743,0.983395465664605,2024-07-29
"8","Santa Clara",2024-07-23,0.902457841398618,0.93792888404376,0.974317436680477,2024-07-30
"9","Santa Clara",2024-07-24,0.893216550829443,0.928637474151848,0.964982676986102,2024-07-31
"10","Santa Clara",2024-07-25,0.883774671712702,0.91916317181116,0.955483999376308,2024-08-01
"11","Santa Clara",2024-07-26,0.87420834658807,0.909584388395324,0.945902166764543,2024-08-02
"12","Santa Clara",2024-07-27,0.864578627182673,0.899964007024311,0.936301972509218,2024-08-03
"13","Santa Clara",2024-07-28,0.854929571174414,0.890347457451724,0.926730294689378,2024-08-04
"14","Santa Clara",2024-07-29,0.845288056932597,0.880762548446636,0.917215947958469,2024-08-05
"15","Santa Clara",2024-07-30,0.835665017456734,0.87122075103532,0.907771018337978,2024-08-06
"16","Santa Clara",2024-07-31,0.826057731774115,0.861719562040372,0.898393301422333,2024-08-07
"17","Santa Clara",2024-08-01,0.816452797559387,0.852245562850407,0.889069449970261,2024-08-08
"18","Santa Clara",2024-08-02,0.806829416260906,0.842777796244984,0.879778445140676,2024-08-09
"19","Santa Clara",2024-08-03,0.797162637333123,0.833291099826517,0.870495021795726,2024-08-10
"20","Santa Clara",2024-08-04,0.78742623590272,0.823759062885941,0.861192707143501,2024-08-11
"21","Santa Clara",2024-08-05,0.777594955578057,0.814156332017431,0.851846191620758,2024-08-12
"22","Santa Clara",2024-08-06,0.767645950884536,0.804460095707005,0.842432857999849,2024-08-13
"23","Santa Clara",2024-08-07,0.757559412727418,0.794650730395528,0.832933450377569,2024-08-14
"24","Santa Clara",2024-08-08,0.747318534846624,0.784711769364047,0.823332047874797,2024-08-15
"25","Santa Clara",2024-08-09,0.736909140676932,0.774629521659795,0.81361567819683,2024-08-16
"26","Santa Clara",2024-08-10,0.726319392218735,0.764392773917446,0.803774015295092,2024-08-17
"27","Santa Clara",2024-08-11,0.715540007478547,0.753993014241688,0.793799613022609,2024-08-18
"28","Santa Clara",2024-08-12,0.704565306407833,0.743425509248549,0.783689017121728,2024-08-19
"29","Santa Clara",2024-08-13,0.693395205486667,0.732691361370504,0.773444889605055,2024-08-20
"30","Santa Clara",2024-08-14,0.68203803678329,0.721800423080011,0.763079022912321,2024-08-21
