Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
OCSD_P1,2020-12-09,9010000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2020-12-14,4455000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2020-12-21,3970000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-04,11750000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-06,16000000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-11,10300000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-13,7785000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-15,6880000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-18,6200000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-20,11065000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-22,7010000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-25,4410000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-27,3280000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-01-29,8790000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-01,6645000.0,,1800000,Orange,92708.0,n2,,,Fountain Valley,
OCSD_P1,2021-02-03,4130000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-05,6610000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-08,4650000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-10,3860000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-12,1792000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-15,1545000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-17,1252000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-19,516000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-22,875000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-24,1240000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-02-26,562500.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-01,644500.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-03,1019500.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-05,323500.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-08,136350.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-10,472950.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-12,1161833.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-15,1014333.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-17,82745.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-19,2070.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-22,15210.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-24,1998.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-26,16355.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-03-29,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-02,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-05,209.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-07,184333.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-09,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-12,15720.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-14,74700.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-16,42833.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-19,63400.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-21,90760.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-23,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-26,80950.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-28,52097.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-04-30,376000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-03,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-05,116000.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-10,14800.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-12,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-14,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-17,31700.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-19,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-21,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-24,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-26,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-05-28,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-02,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-04,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-07,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-09,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-11,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-14,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-16,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-18,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
OCSD_P1,2021-06-21,0.0,,1800000,Orange,92708.0,n1,,,Fountain Valley,
