Plant,Date,SC2_N_gc_g_dry_weight,PMMoV_gc_g_dry_weight,Population_Served,County,zipcode,pcr_gene_target,index,SC2_N_norm_PMMoV,City,County_FIPS
PA_ALL,2022-10-04,541130.2,1210000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-05,287449.806,1500000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-06,127539.198,1140000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-07,147555.893,926000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-08,105731.616,1450000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-09,143947.178,1310000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-10,139154.575,1760000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-11,222673.217,1250000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-12,125898.216,1220000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-13,237836.565,3150000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-14,106104.821,719000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-15,263873.203,1580000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-16,43425.5515,1380000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-17,41277.6465,1370000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-18,64165.0522,1320000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-19,95622.0828,1310000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-20,111395.378,1080000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-21,239110.603,936000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-22,123272.563,1190000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-23,93109.2515,1210000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-24,454093.693,1140000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-25,179099.691,635000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-26,86759.4663,1050000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-27,416061.945,861000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-28,126700.502,1060000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-29,163457.254,1470000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-30,163265.465,1800000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-10-31,326847.697,203000000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-01,160607.405,976000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-02,476777.194,1270000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-03,570904.565,749000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-04,138583.211,826000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-05,222011.327,1390000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-06,181683.781,1390000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-07,309834.046,2600000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-08,216997.945,860000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-09,142571.998,580000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-10,247601.267,663000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-11,300415.039,659000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-12,155653.84,757000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-13,200136.752,645000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-14,635653.977,2260000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-15,145236.921,659000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-16,597467.933,795000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
PA_ALL,2022-11-17,304390.441,3090000000.0,236000,San Mateo,94303.0,N,,,Palo Alto,
